epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,2068.24,2.57594,2.08919,2.60369,0.90265,0.7051,0.84522,0.53786,2.6114,1.75707,2.67375,0.00050896,0.00050896,0.00050896
126,2082.28,2.56688,2.08535,2.56023,0.90868,0.77323,0.85048,0.52473,2.64578,1.78476,2.71207,0.000505,0.000505,0.000505
127,2111.33,2.52925,2.04681,2.58976,0.85927,0.69328,0.83634,0.52704,2.71623,1.95053,2.78416,0.00050104,0.00050104,0.00050104
128,2125.73,2.53424,2.00575,2.55827,0.7724,0.79315,0.80605,0.50628,2.70185,1.78432,2.71571,0.00049708,0.00049708,0.00049708
129,2139.84,2.60397,2.19252,2.6092,0.83837,0.74244,0.80929,0.52165,2.72207,1.96041,2.79388,0.00049312,0.00049312,0.00049312
130,2154.05,2.52731,2.01919,2.55613,0.87521,0.74318,0.81297,0.52691,2.62933,1.82118,2.73044,0.00048916,0.00048916,0.00048916
131,2168.22,2.54024,2.04285,2.52199,0.76953,0.79775,0.82935,0.49596,2.68538,2.0665,2.7661,0.0004852,0.0004852,0.0004852
132,2182.3,2.485,1.96723,2.52076,0.90736,0.74733,0.83384,0.55348,2.57542,1.73633,2.66102,0.00048124,0.00048124,0.00048124
133,2196.53,2.51165,1.95684,2.54678,0.80823,0.76991,0.81663,0.52073,2.70497,1.81692,2.72561,0.00047728,0.00047728,0.00047728
134,2210.53,2.51328,1.98965,2.52757,0.79952,0.72202,0.82227,0.54342,2.59434,2.00433,2.66856,0.00047332,0.00047332,0.00047332
135,2231.57,2.49251,2.01912,2.52188,0.82764,0.73661,0.83623,0.53349,2.65143,1.91106,2.7624,0.00046936,0.00046936,0.00046936
136,2277.08,2.49736,1.94981,2.50328,0.89672,0.74969,0.82057,0.52942,2.60748,1.88853,2.68157,0.0004654,0.0004654,0.0004654
137,2294.24,2.58172,2.06999,2.5677,0.84469,0.84509,0.86237,0.54145,2.6739,1.74444,2.71507,0.00046144,0.00046144,0.00046144
138,2333.25,2.50547,1.9908,2.55236,0.8833,0.76267,0.87624,0.56341,2.56873,1.68922,2.67334,0.00045748,0.00045748,0.00045748
139,2366.12,2.50045,1.95389,2.52422,0.93304,0.76792,0.88844,0.55948,2.56143,1.70202,2.70063,0.00045352,0.00045352,0.00045352
140,2400.73,2.52575,2.00337,2.54532,0.78968,0.82202,0.85093,0.57348,2.56025,1.96487,2.67135,0.00044956,0.00044956,0.00044956
141,2415.45,2.49155,1.95784,2.50909,0.74689,0.88134,0.87449,0.5841,2.56618,1.66673,2.67545,0.0004456,0.0004456,0.0004456
142,2441.69,2.47172,1.94527,2.54519,0.80527,0.83063,0.84467,0.57393,2.50194,1.73131,2.6217,0.00044164,0.00044164,0.00044164
143,2488.64,2.43238,1.88925,2.4889,0.89699,0.78762,0.85903,0.58244,2.53024,1.69186,2.67976,0.00043768,0.00043768,0.00043768
144,2519.15,2.45231,1.89829,2.47995,0.91199,0.74766,0.8426,0.59443,2.44735,1.89873,2.59654,0.00043372,0.00043372,0.00043372
145,2560.04,2.50435,2.01738,2.53064,0.81025,0.81033,0.84366,0.57905,2.47416,1.86111,2.63548,0.00042976,0.00042976,0.00042976
146,2574.85,2.4589,1.92595,2.51418,0.87258,0.69063,0.84348,0.54893,2.50434,1.80078,2.61316,0.0004258,0.0004258,0.0004258
147,2619.23,2.41136,1.83092,2.46836,0.86787,0.73793,0.86975,0.57441,2.44495,1.71234,2.61383,0.00042184,0.00042184,0.00042184
148,2666.51,2.42974,1.85222,2.49482,0.89049,0.79267,0.86209,0.56992,2.51846,1.84098,2.65124,0.00041788,0.00041788,0.00041788
149,2680.93,2.40196,1.86277,2.49663,0.90571,0.77059,0.88527,0.58217,2.49607,1.63266,2.6245,0.00041392,0.00041392,0.00041392
150,2695.21,2.46588,1.92929,2.49059,0.75198,0.94581,0.90372,0.59261,2.42067,1.67402,2.63264,0.00040996,0.00040996,0.00040996
151,2709.41,2.43031,1.85921,2.51873,0.87944,0.75643,0.86411,0.56894,2.42402,1.81682,2.61367,0.000406,0.000406,0.000406
152,2723.59,2.4644,1.9265,2.51551,0.76946,0.83091,0.84759,0.55854,2.44472,1.8064,2.60639,0.00040204,0.00040204,0.00040204
153,2737.84,2.45019,1.94968,2.49435,0.73275,0.76976,0.86871,0.56198,2.58483,1.6573,2.72093,0.00039808,0.00039808,0.00039808
154,2751.92,2.41698,1.8809,2.45484,0.7928,0.81497,0.852,0.57315,2.49942,1.72248,2.63464,0.00039412,0.00039412,0.00039412
155,2765.96,2.46083,1.938,2.48435,0.77676,0.84808,0.86291,0.55397,2.67632,1.59537,2.73888,0.00039016,0.00039016,0.00039016
156,2780.05,2.43343,1.90567,2.46866,0.84088,0.78398,0.87699,0.58748,2.53106,1.73357,2.64513,0.0003862,0.0003862,0.0003862
157,2794.02,2.39528,1.87876,2.47793,0.86258,0.73769,0.84708,0.57031,2.49368,1.85942,2.68425,0.00038224,0.00038224,0.00038224
158,2808.12,2.43339,1.92173,2.46482,0.87263,0.80663,0.88185,0.5753,2.5408,1.8185,2.64716,0.00037828,0.00037828,0.00037828
159,2822.14,2.41097,1.82075,2.44914,0.88065,0.71801,0.86248,0.56955,2.42327,1.7107,2.61217,0.00037432,0.00037432,0.00037432
160,2836.35,2.39057,1.84301,2.43159,0.87259,0.65355,0.79162,0.53099,2.46616,1.70569,2.59295,0.00037036,0.00037036,0.00037036
161,2850.56,2.40815,1.88444,2.47972,0.89805,0.729,0.83513,0.5465,2.45809,1.93482,2.61181,0.0003664,0.0003664,0.0003664
162,2864.69,2.39747,1.82443,2.45613,0.65959,0.73881,0.80039,0.52362,2.51829,1.85708,2.64794,0.00036244,0.00036244,0.00036244
163,2879.02,2.37118,1.81899,2.44634,0.85706,0.78514,0.86968,0.57195,2.54271,1.85383,2.60961,0.00035848,0.00035848,0.00035848
164,2893.45,2.40954,1.87522,2.45266,0.79581,0.85338,0.90057,0.59321,2.44505,1.84409,2.61742,0.00035452,0.00035452,0.00035452
